ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
98833.3;585;24.1868
99166.7;638;25.2587
99500;400;20
99833.3;581;24.1039
100167;366;19.1311
100500;549;23.4307
100833;588;24.2487
101167;400;20
101500;600;24.4949
101833;413;20.3224
102167;705;26.5518
102500;656;25.6125
102833;415;20.3715
103167;613;24.7588
103500;429;20.7123
103833;597;24.4336
104167;648;25.4558
104500;423;20.567
104833;648;25.4558
105167;407;20.1742
105500;724;26.9072
105833;595;24.3926
106167;443;21.0476
106500;666;25.807
106833;420;20.4939
107167;618;24.8596
107500;672;25.923
107833;403;20.0749
108167;633;25.1595
108500;442;21.0238
108833;622;24.9399
109167;591;24.3105
109500;431;20.7605
109833;595;24.3926
110167;406;20.1494
110500;625;25
110833;642;25.3377
111167;416;20.3961
111500;591;24.3105
111833;407;20.1742
112167;651;25.5147
112500;578;24.0416
112833;364;19.0788
113167;619;24.8797
113500;626;25.02
113833;361;19
114167;547;23.388
114500;380;19.4936
114833;555;23.5584
115167;538;23.1948
115500;402;20.0499
115833;555;23.5584
116167;374;19.3391
116500;578;24.0416
116833;556;23.5797
117167;392;19.799
117500;574;23.9583
117833;382;19.5448
118167;592;24.3311
118500;652;25.5343
118833;425;20.6155
119167;587;24.2281
119500;383;19.5704
119833;545;23.3452
120167;573;23.9374
120500;379;19.4679
120833;541;23.2594
121167;376;19.3907
121500;580;24.0832
121833;542;23.2809
122167;383;19.5704
122500;557;23.6008
122833;366;19.1311
123167;569;23.8537
123500;496;22.2711
123833;394;19.8494
124167;551;23.4734
124500;369;19.2094
124833;555;23.5584
125167;544;23.3238
125500;347;18.6279
125833;587;24.2281
126167;374;19.3391
126500;523;22.8692
126833;547;23.388
127167;404;20.0998
127500;516;22.7156
127833;367;19.1572
128167;548;23.4094
128500;538;23.1948
128833;345;18.5742
129167;510;22.5832
129500;507;22.5167
129833;358;18.9209
130167;513;22.6495
130500;339;18.412
130833;538;23.1948
131167;551;23.4734
131500;334;18.2757
131833;509;22.561
132167;402;20.0499
132500;539;23.2164
132833;454;21.3073
133167;366;19.1311
133500;534;23.1084
133833;332;18.2209
134167;556;23.5797
134500;521;22.8254
134833;330;18.1659
135167;510;22.5832
135500;309;17.5784
135833;506;22.4944
136167;445;21.095
136500;342;18.4932
136833;518;22.7596
137167;332;18.2209
137500;451;21.2368
137833;474;21.7715
138167;320;17.8885
138500;488;22.0907
138833;339;18.412
139167;487;22.0681
139500;434;20.8327
139833;337;18.3576
140167;472;21.7256
140500;325;18.0278
140833;473;21.7486
141167;456;21.3542
141500;301;17.3494
141833;467;21.6102
142167;317;17.8045
142500;455;21.3307
142833;471;21.7025
143167;282;16.7929
143500;466;21.587
143833;325;18.0278
144167;501;22.383
144500;432;20.7846
144833;328;18.1108
145167;442;21.0238
145500;428;20.6882
145833;260;16.1245
146167;422;20.5426
146500;309;17.5784
146833;397;19.9249
147167;395;19.8746
147500;292;17.088
147833;433;20.8087
148167;309;17.5784
148500;470;21.6795
148833;483;21.9773
149167;275;16.5831
149500;426;20.6398
149833;258;16.0624
150167;408;20.199
150500;454;21.3073
150833;256;16
151167;443;21.0476
151500;268;16.3707
151833;447;21.1424
152167;416;20.3961
152500;271;16.4621
152833;386;19.6469
153167;250;15.8114
153500;396;19.8997
153833;411;20.2731
154167;306;17.4929
154500;404;20.0998
154833;267;16.3401
155167;381;19.5192
155500;428;20.6882
155833;306;17.4929
156167;431;20.7605
156500;255;15.9687
156833;395;19.8746
157167;391;19.7737
157500;243;15.5885
157833;400;20
158167;279;16.7033
158500;407;20.1742
158833;373;19.3132
159167;270;16.4317
159500;386;19.6469
159833;283;16.8226
160167;338;18.3848
160500;383;19.5704
160833;287;16.9411
161167;401;20.025
161500;328;18.1108
161833;256;16
162167;412;20.2978
162500;269;16.4012
162833;351;18.735
163167;343;18.5203
163500;241;15.5242
163833;380;19.4936
164167;250;15.8114
164500;354;18.8149
164833;366;19.1311
165167;268;16.3707
165500;387;19.6723
165833;273;16.5227
166167;359;18.9473
166500;399;19.975
166833;252;15.8745
167167;369;19.2094
167500;246;15.6844
167833;401;20.025
168167;343;18.5203
168500;259;16.0935
168833;363;19.0526
169167;250;15.8114
169500;397;19.9249
169833;351;18.735
170167;243;15.5885
170500;384;19.5959
170833;267;16.3401
171167;333;18.2483
171500;327;18.0831
171833;213;14.5945
172167;352;18.7617
172500;225;15
172833;340;18.4391
173167;343;18.5203
173500;228;15.0997
173833;329;18.1384
174167;213;14.5945
174500;351;18.735
174833;364;19.0788
175167;227;15.0665
175500;326;18.0555
175833;242;15.5563
176167;340;18.4391
176500;320;17.8885
176833;223;14.9332
177167;364;19.0788
177500;336;18.3303
177833;248;15.748
178167;313;17.6918
178500;211;14.5258
178833;314;17.72
179167;343;18.5203
179500;226;15.0333
179833;335;18.303
180167;213;14.5945
180500;312;17.6635
180833;294;17.1464
181167;203;14.2478
181500;289;17
181833;228;15.0997
182167;310;17.6068
182500;281;16.7631
182833;171;13.0767
183167;285;16.8819
183500;174;13.1909
183833;262;16.1864
184167;297;17.2337
184500;182;13.4907
184833;306;17.4929
185167;175;13.2288
185500;267;16.3401
185833;245;15.6525
186167;179;13.3791
186500;282;16.7929
186833;176;13.2665
187167;255;15.9687
187500;244;15.6205
187833;183;13.5277
188167;251;15.843
188500;158;12.5698
188833;247;15.7162
189167;202;14.2127
189500;161;12.6886
189833;254;15.9374
190167;145;12.0416
190500;245;15.6525
190833;210;14.4914
191167;156;12.49
191500;193;13.8924
191833;158;12.5698
192167;207;14.3875
192500;225;15
192833;125;11.1803
193167;196;14
193500;197;14.0357
193833;126;11.225
194167;188;13.7113
194500;124;11.1355
194833;199;14.1067
195167;192;13.8564
195500;143;11.9583
195833;176;13.2665
196167;143;11.9583
196500;178;13.3417
196833;152;12.3288
197167;138;11.7473
197500;167;12.9228
197833;92;9.59166
198167;168;12.9615
198500;166;12.8841
198833;125;11.1803
199167;171;13.0767
199500;112;10.583
199833;166;12.8841
200167;158;12.5698
200500;106;10.2956
200833;151;12.2882
201167;99;9.94987
201500;169;13
201833;153;12.3693
202167;113;10.6301
202500;145;12.0416
202833;112;10.583
203167;141;11.8743
203500;147;12.1244
203833;113;10.6301
204167;130;11.4018
204500;96;9.79796
204833;164;12.8062
205167;159;12.6095
205500;97;9.84886
205833;121;11
206167;96;9.79796
206500;161;12.6886
206833;125;11.1803
207167;82;9.05539
207500;143;11.9583
207833;88;9.38083
208167;136;11.6619
208500;156;12.49
208833;98;9.89949
209167;135;11.619
209500;142;11.9164
209833;103;10.1489
210167;107;10.3441
210500;82;9.05539
210833;114;10.6771
211167;111;10.5357
211500;93;9.64365
211833;132;11.4891
212167;70;8.3666
212500;118;10.8628
212833;148;12.1655
213167;68;8.24621
213500;100;10
213833;80;8.94427
214167;118;10.8628
214500;150;12.2474
214833;78;8.83176
215167;128;11.3137
215500;71;8.42615
215833;123;11.0905
216167;120;10.9545
216500;70;8.3666
216833;126;11.225
217167;68;8.24621
217500;116;10.7703
217833;113;10.6301
218167;68;8.24621
218500;122;11.0454
218833;82;9.05539
219167;108;10.3923
219500;95;9.74679
219833;79;8.88819
220167;117;10.8167
220500;84;9.16515
220833;103;10.1489
221167;104;10.198
221500;83;9.11043
221833;141;11.8743
222167;57;7.54983
222500;88;9.38083
222833;120;10.9545
223167;76;8.7178
223500;113;10.6301
223833;69;8.30662
224167;112;10.583
224500;122;11.0454
224833;72;8.48528
225167;108;10.3923
225500;106;10.2956
225833;65;8.06226
226167;99;9.94987
226500;72;8.48528
226833;100;10
227167;96;9.79796
227500;62;7.87401
227833;120;10.9545
228167;67;8.18535
228500;79;8.88819
228833;90;9.48683
229167;72;8.48528
229500;111;10.5357
229833;64;8
230167;102;10.0995
230500;100;10
230833;79;8.88819
231167;118;10.8628
231500;79;8.88819
231833;103;10.1489
232167;91;9.53939
232500;51;7.14143
232833;113;10.6301
233167;66;8.12404
233500;102;10.0995
233833;95;9.74679
234167;74;8.60233
234500;113;10.6301
234833;66;8.12404
235167;91;9.53939
235500;83;9.11043
235833;68;8.24621
236167;102;10.0995
236500;67;8.18535
236833;94;9.69536
237167;90;9.48683
237500;69;8.30662
237833;73;8.544
238167;81;9
238500;105;10.247
238833;78;8.83176
239167;81;9
239500;81;9
239833;50;7.07107
240167;100;10
240500;93;9.64365
240833;55;7.4162
241167;96;9.79796
241500;89;9.43398
241833;75;8.66025
242167;80;8.94427
242500;57;7.54983
242833;110;10.4881
243167;86;9.27362
243500;61;7.81025
243833;97;9.84886
244167;51;7.14143
244500;91;9.53939
244833;69;8.30662
245167;60;7.74597
245500;87;9.32738
245833;56;7.48331
246167;78;8.83176
246500;71;8.42615
246833;64;8
247167;92;9.59166
247500;44;6.63325
247833;87;9.32738
248167;80;8.94427
248500;53;7.28011
248833;104;10.198
249167;45;6.7082
249500;84;9.16515
249833;73;8.544
250167;66;8.12404
250500;96;9.79796
