ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
92500;5787;76.0723
92833.3;8791;93.7603
93166.7;8987;94.7998
93500;5997;77.4403
93833.3;9031;95.0316
94166.7;6021;77.5951
94500;9419;97.0515
94833.3;9116;95.4777
95166.7;6050;77.7817
95500;8868;94.1701
95833.3;5973;77.2852
96166.7;8771;93.6536
96500;8907;94.3769
96833.3;6181;78.6193
97166.7;9256;96.2081
97500;9084;95.31
97833.3;6155;78.4538
98166.7;9211;95.974
98500;6369;79.806
98833.3;9254;96.1977
99166.7;9566;97.8059
99500;6376;79.8499
99833.3;9268;96.2705
100167;6142;78.3709
100500;9594;97.949
100833;9474;97.3345
101167;6671;81.6762
101500;9827;99.1312
101833;6443;80.2683
102167;10714;103.508
102500;10264;101.311
102833;6865;82.8553
103167;10401;101.985
103500;7064;84.0476
103833;10280;101.39
104167;10604;102.976
104500;7161;84.6227
104833;10717;103.523
105167;7365;85.8196
105500;11110;105.404
105833;11129;105.494
106167;7695;87.7211
106500;11415;106.841
106833;7495;86.5737
107167;11748;108.388
107500;12111;110.05
107833;7883;88.7863
108167;11796;108.609
108500;8224;90.6863
108833;12241;110.639
109167;12577;112.147
109500;8542;92.4229
109833;12518;111.884
110167;8547;92.45
110500;12916;113.649
110833;13438;115.922
111167;8607;92.7739
111500;13214;114.952
111833;8469;92.0272
112167;12994;113.991
112500;12748;112.907
112833;8939;94.5463
113167;12816;113.208
113500;13303;115.339
113833;8897;94.3239
114167;12818;113.217
114500;8705;93.3006
114833;13129;114.582
115167;13102;114.464
115500;8778;93.691
115833;13184;114.822
116167;8467;92.0163
116500;12758;112.951
116833;13112;114.508
117167;8467;92.0163
117500;13080;114.368
117833;8492;92.152
118167;12567;112.103
118500;13602;116.628
118833;8549;92.4608
119167;12649;112.468
119500;8417;91.7442
119833;12699;112.69
120167;12457;111.611
120500;8286;91.0275
120833;11986;109.481
121167;7939;89.1011
121500;12321;111
121833;12312;110.959
122167;7783;88.2213
122500;11924;109.197
122833;7873;88.7299
123167;11173;105.702
123500;11262;106.123
123833;7943;89.1235
124167;11495;107.215
124500;7775;88.176
124833;11123;105.466
125167;11337;106.475
125500;7642;87.4185
125833;11523;107.345
126167;7552;86.9022
126500;11125;105.475
126833;11302;106.311
127167;8220;90.6642
127500;10897;104.389
127833;7589;87.1149
128167;11205;105.854
128500;10650;103.199
128833;7079;84.1368
129167;10476;102.352
129500;10604;102.976
129833;7346;85.7088
130167;10684;103.363
130500;6936;83.2827
130833;10598;102.947
131167;10319;101.582
131500;6907;83.1084
131833;10501;102.474
132167;6957;83.4086
132500;10240;101.193
132833;9927;99.6343
133167;6914;83.1505
133500;10185;100.921
133833;6899;83.0602
134167;10256;101.272
134500;9671;98.3412
134833;6648;81.5353
135167;10415;102.054
135500;6438;80.2371
135833;9884;99.4183
136167;9966;99.8299
136500;6461;80.3803
136833;9406;96.9845
137167;6197;78.721
137500;9453;97.2265
137833;9711;98.5444
138167;6323;79.5173
138500;9326;96.5712
138833;6147;78.4028
139167;9366;96.7781
139500;9133;95.5667
139833;6199;78.7337
140167;9300;96.4365
140500;5936;77.0454
140833;8977;94.747
141167;8982;94.7734
141500;6026;77.6273
141833;8976;94.7418
142167;6129;78.2879
142500;8920;94.4458
142833;8879;94.2284
143167;5816;76.2627
143500;9133;95.5667
143833;5676;75.3392
144167;8681;93.1719
144500;8880;94.2338
144833;5581;74.7061
145167;8239;90.7689
145500;8180;90.4434
145833;5558;74.552
146167;8690;93.2202
146500;5408;73.5391
146833;8132;90.1776
147167;8132;90.1776
147500;5323;72.9589
147833;8217;90.6477
148167;5588;74.7529
148500;8318;91.2031
148833;7978;89.3197
149167;5195;72.0763
149500;7875;88.7412
149833;5184;72
150167;7968;89.2637
150500;8053;89.7385
150833;4951;70.3633
151167;7929;89.0449
151500;5622;74.98
151833;7668;87.5671
152167;7842;88.5551
152500;5249;72.45
152833;7491;86.5506
153167;5078;71.2601
153500;7459;86.3655
153833;7416;86.1162
154167;4974;70.5266
154500;7566;86.9828
154833;5015;70.8167
155167;7351;85.738
155500;7385;85.936
155833;4936;70.2567
156167;7413;86.0988
156500;4956;70.3989
156833;7107;84.303
157167;7067;84.0655
157500;4639;68.1102
157833;7188;84.7821
158167;4607;67.8749
158500;7345;85.703
158833;7027;83.8272
159167;4675;68.374
159500;7090;84.2021
159833;4987;70.6187
160167;6924;83.2106
160500;6969;83.4805
160833;4714;68.6586
161167;6763;82.2375
161500;6941;83.3127
161833;4389;66.2495
162167;6781;82.3468
162500;4628;68.0294
162833;6927;83.2286
163167;6598;81.2281
163500;4428;66.5432
163833;6673;81.6884
164167;4283;65.4446
164500;6694;81.8169
164833;6932;83.2586
165167;4517;67.2086
165500;6535;80.8393
165833;4320;65.7267
166167;6659;81.6027
166500;6699;81.8474
166833;4518;67.2161
167167;6558;80.9815
167500;4374;66.1362
167833;7026;83.8212
168167;6458;80.3617
168500;4367;66.0833
168833;6562;81.0062
169167;4342;65.8939
169500;6353;79.7057
169833;6236;78.9683
170167;4264;65.2993
170500;6348;79.6743
170833;4364;66.0606
171167;6269;79.177
171500;6179;78.6066
171833;3905;62.49
172167;6065;77.8781
172500;4143;64.3661
172833;6205;78.7718
173167;6274;79.2086
173500;4127;64.2417
173833;6084;78
174167;4172;64.591
174500;6231;78.9367
174833;6344;79.6492
175167;4058;63.7024
175500;6016;77.5629
175833;4078;63.8592
176167;6626;81.4002
176500;6056;77.8203
176833;3995;63.206
177167;6213;78.8226
177500;5957;77.1816
177833;4026;63.4508
178167;6013;77.5435
178500;3967;62.9841
178833;6026;77.6273
179167;6017;77.5693
179500;3996;63.2139
179833;5975;77.2981
180167;3985;63.1269
180500;5742;75.776
180833;5882;76.6942
181167;3984;63.1189
181500;6044;77.7432
181833;3875;62.2495
182167;5972;77.2787
182500;5894;76.7724
182833;3977;63.0635
183167;6041;77.7239
183500;3855;62.0886
183833;5790;76.092
184167;6399;79.9937
184500;3985;63.1269
184833;6007;77.5048
185167;3927;62.6658
185500;5833;76.3741
185833;5873;76.6355
186167;3876;62.2575
186500;5563;74.5855
186833;3695;60.7865
187167;5907;76.857
187500;5692;75.4453
187833;3762;61.3351
188167;5611;74.9066
188500;3876;62.2575
188833;5287;72.7118
189167;5579;74.6927
189500;3725;61.0328
189833;5654;75.1931
190167;3720;60.9918
190500;5727;75.6769
190833;5625;75
191167;3774;61.4329
191500;5754;75.8551
191833;3878;62.2736
192167;5564;74.5922
192500;5943;77.0909
192833;3676;60.63
193167;5705;75.5315
193500;5836;76.3937
193833;3797;61.6198
194167;5728;75.6836
194500;3709;60.9016
194833;5623;74.9867
195167;5826;76.3282
195500;3759;61.3107
195833;5517;74.2765
196167;3718;60.9754
196500;5523;74.3169
196833;5604;74.8599
197167;3650;60.4152
197500;5641;75.1066
197833;3719;60.9836
198167;5518;74.2832
198500;5363;73.2325
198833;3855;62.0886
199167;5481;74.0338
199500;3685;60.7042
199833;5500;74.162
200167;5415;73.5867
200500;4026;63.4508
200833;5591;74.773
201167;3637;60.3075
201500;5634;75.06
201833;5595;74.7997
202167;3578;59.8164
202500;5603;74.8532
202833;3670;60.5805
203167;5463;73.9121
203500;5657;75.213
203833;3665;60.5392
204167;5309;72.8629
204500;3812;61.7414
204833;5549;74.4916
205167;5315;72.904
205500;3566;59.716
205833;5298;72.7874
206167;3637;60.3075
206500;5548;74.4849
206833;5568;74.619
207167;3565;59.7076
207500;5555;74.5319
207833;3692;60.7618
208167;5629;75.0267
208500;5711;75.5712
208833;3823;61.8304
209167;5828;76.3413
209500;5578;74.686
209833;3925;62.6498
210167;5607;74.8799
210500;3745;61.1964
210833;5429;73.6817
211167;5617;74.9466
211500;3811;61.7333
211833;5839;76.4133
212167;3707;60.8851
212500;5609;74.8933
212833;5546;74.4715
