ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
92166.7;3468;58.8897
92500;2360;48.5798
92833.3;3472;58.9237
93166.7;3574;59.7829
93500;2355;48.5283
93833.3;3589;59.9083
94166.7;2451;49.5076
94500;3808;61.709
94833.3;3583;59.8582
95166.7;2414;49.1325
95500;3539;59.4895
95833.3;2389;48.8774
96166.7;3520;59.3296
96500;3599;59.9917
96833.3;2432;49.3153
97166.7;3672;60.597
97500;3589;59.9083
97833.3;2433;49.3254
98166.7;3646;60.3821
98500;2450;49.4975
98833.3;3699;60.8194
99166.7;3759;61.3107
99500;2490;49.8999
99833.3;3779;61.4736
100167;2411;49.1019
100500;3729;61.0655
100833;3738;61.1392
101167;2689;51.8556
101500;3693;60.7701
101833;2425;49.2443
102167;4115;64.1483
102500;3876;62.2575
102833;2526;50.2593
103167;3951;62.857
103500;2624;51.225
103833;3760;61.3188
104167;3913;62.554
104500;2537;50.3686
104833;3912;62.546
105167;2681;51.7784
105500;4012;63.3404
105833;3823;61.8304
106167;2702;51.9808
106500;3941;62.7774
106833;2718;52.1344
107167;4117;64.1639
107500;4222;64.9769
107833;2743;52.3737
108167;4160;64.4981
108500;2861;53.4883
108833;4165;64.5368
109167;4300;65.5744
109500;2889;53.7494
109833;4199;64.7997
110167;2804;52.9528
110500;4383;66.2042
110833;4503;67.1044
111167;2952;54.3323
111500;4417;66.4605
111833;2892;53.7773
112167;4325;65.7647
112500;4242;65.1306
112833;2839;53.2823
113167;4428;66.5432
113500;4632;68.0588
113833;3013;54.8908
114167;4467;66.8356
114500;3090;55.5878
114833;4448;66.6933
115167;4554;67.4833
115500;3110;55.7674
115833;4761;69
116167;3033;55.0727
116500;4577;67.6535
116833;4646;68.1616
117167;3053;55.254
117500;4719;68.695
117833;3034;55.0818
118167;4658;68.2495
118500;4995;70.6753
118833;3197;56.542
119167;4737;68.8259
119500;3191;56.4889
119833;4764;69.0217
120167;4726;68.7459
120500;3175;56.3471
120833;4640;68.1175
121167;3063;55.3444
121500;4684;68.4398
121833;4801;69.2892
122167;3214;56.6922
122500;4770;69.0652
122833;3110;55.7674
123167;4491;67.0149
123500;4530;67.3053
123833;3241;56.9298
124167;4699;68.5493
124500;3146;56.0892
124833;4548;67.4389
125167;4627;68.0221
125500;3241;56.9298
