ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
92500;2514;50.1398
92833.3;3999;63.2376
93166.7;3905;62.49
93500;2482;49.8197
93833.3;4003;63.2693
94166.7;2580;50.7937
94500;3963;62.9524
94833.3;3882;62.3057
95166.7;2692;51.8845
95500;3850;62.0484
95833.3;2677;51.7397
96166.7;3826;61.8547
96500;3826;61.8547
96833.3;2618;51.1664
97166.7;4000;63.2456
97500;3893;62.3939
97833.3;2586;50.8527
98166.7;3978;63.0714
98500;2664;51.614
98833.3;3919;62.6019
99166.7;4017;63.3798
99500;2623;51.2152
99833.3;3872;62.2254
100167;2620;51.1859
100500;3965;62.9682
100833;3902;62.466
101167;2788;52.8015
101500;3950;62.849
101833;2556;50.5569
102167;4151;64.4283
102500;3948;62.8331
102833;2695;51.9134
103167;3939;62.7615
103500;2650;51.4782
103833;3840;61.9677
104167;3949;62.8411
104500;2670;51.672
104833;3956;62.8967
105167;2650;51.4782
105500;4047;63.616
105833;3830;61.887
106167;2691;51.8748
106500;4017;63.3798
106833;2593;50.9215
107167;4145;64.3817
107500;4200;64.8074
107833;2659;51.5655
108167;4014;63.3561
108500;2713;52.0865
108833;3910;62.53
109167;4009;63.3167
109500;2731;52.259
109833;4118;64.1716
110167;2747;52.4118
110500;4105;64.0703
110833;4294;65.5286
111167;2781;52.7352
111500;4152;64.436
111833;2779;52.7162
112167;4056;63.6867
112500;4112;64.1249
112833;2704;52
113167;4162;64.5136
113500;4221;64.9692
113833;2832;53.2165
114167;4101;64.0391
114500;2740;52.345
114833;4194;64.7611
115167;4142;64.3584
115500;2808;52.9906
115833;4242;65.1306
116167;2761;52.5452
116500;4243;65.1383
116833;4341;65.8863
117167;2924;54.074
117500;4353;65.9773
117833;2879;53.6563
118167;4401;66.34
118500;4634;68.0735
118833;3020;54.9545
119167;4514;67.1863
119500;3072;55.4256
119833;4669;68.3301
120167;4634;68.0735
120500;3125;55.9017
120833;4575;67.6387
121167;3069;55.3986
121500;4868;69.7711
121833;4848;69.6276
122167;3155;56.1694
122500;4805;69.3181
122833;3352;57.8965
123167;4764;69.0217
123500;4736;68.8186
123833;3357;57.9396
124167;5147;71.7426
124500;3420;58.4808
124833;5141;71.7008
125167;5109;71.4773
125500;3492;59.0931
125833;5485;74.0608
126167;3684;60.696
126500;5193;72.0625
126833;5419;73.6139
127167;3929;62.6817
127500;5373;73.3008
127833;3708;60.8933
128167;5820;76.2889
128500;5424;73.6478
128833;3664;60.531
129167;5422;73.6342
129500;5456;73.8647
129833;3826;61.8547
130167;5518;74.2832
130500;3650;60.4152
130833;5634;75.06
131167;5544;74.458
131500;3650;60.4152
131833;5681;75.3724
132167;3810;61.7252
132500;5653;75.1864
132833;5597;74.8131
133167;3853;62.0725
133500;5591;74.773
133833;3767;61.3759
134167;5609;74.8933
134500;5587;74.7462
134833;3593;59.9416
135167;5917;76.922
135500;3623;60.1914
135833;5723;75.6505
136167;5669;75.2928
136500;3578;59.8164
136833;5400;73.4847
137167;3429;58.5577
137500;5210;72.1803
137833;5381;73.3553
138167;3668;60.564
138500;5222;72.2634
138833;3468;58.8897
139167;5293;72.753
139500;5181;71.9792
139833;3407;58.3695
140167;5183;71.9931
140500;3358;57.9483
140833;5076;71.2461
141167;4975;70.5337
141500;3429;58.5577
141833;5034;70.9507
142167;3435;58.6089
142500;4905;70.0357
142833;5039;70.9859
143167;3337;57.7668
143500;5217;72.2288
143833;3250;57.0088
144167;5060;71.1337
144500;5006;70.7531
144833;3208;56.6392
145167;4969;70.4911
145500;4734;68.8041
145833;3122;55.8749
146167;4957;70.406
146500;3099;55.6687
146833;4599;67.8159
147167;4673;68.3593
147500;3083;55.5248
147833;4603;67.8454
148167;3174;56.3383
148500;4772;69.0797
148833;4535;67.3424
149167;2980;54.5894
149500;4524;67.2607
149833;2968;54.4794
150167;4454;66.7383
150500;4574;67.6314
150833;2959;54.3967
151167;4436;66.6033
151500;3162;56.2317
151833;4453;66.7308
152167;4428;66.5432
152500;2926;54.0925
152833;4362;66.0454
153167;2884;53.7029
153500;4202;64.8228
153833;4145;64.3817
154167;2769;52.6213
154500;4206;64.8537
154833;2819;53.0943
