ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
235667;0;0
236333;3;1.73205
237000;1;1
237667;1;1
238333;0;0
239000;3;1.73205
239667;2;1.41421
240333;2;1.41421
241000;2;1.41421
241667;0;0
242333;0;0
243000;3;1.73205
243667;0;0
244333;1;1
245000;0;0
245667;3;1.73205
246333;3;1.73205
247000;0;0
247667;1;1
248333;1;1
249000;1;1
249667;2;1.41421
250333;3;1.73205
251000;0;0
251667;1;1
252333;2;1.41421
253000;0;0
253667;1;1
254333;0;0
255000;3;1.73205
255667;0;0
256333;0;0
257000;1;1
257667;0;0
258333;1;1
259000;1;1
259667;1;1
260333;2;1.41421
261000;1;1
261667;2;1.41421
262333;3;1.73205
263000;1;1
263667;0;0
264333;2;1.41421
265000;2;1.41421
265667;1;1
266333;0;0
267000;0;0
267667;1;1
268333;2;1.41421
269000;2;1.41421
269667;0;0
270333;0;0
271000;1;1
271667;0;0
272333;3;1.73205
273000;1;1
273667;3;1.73205
274333;1;1
275000;2;1.41421
275667;1;1
276333;1;1
277000;2;1.41421
277667;0;0
278333;1;1
279000;0;0
279667;1;1
280333;1;1
281000;1;1
281667;0;0
282333;0;0
283000;0;0
283667;0;0
284333;1;1
285000;1;1
285667;1;1
286333;0;0
287000;1;1
287667;0;0
288333;1;1
289000;1;1
289667;3;1.73205
290333;2;1.41421
291000;1;1
291667;2;1.41421
292333;1;1
293000;0;0
293667;2;1.41421
294333;1;1
295000;0;0
295667;1;1
296333;2;1.41421
297000;1;1
297667;2;1.41421
298333;3;1.73205
299000;0;0
299667;1;1
300333;0;0
301000;0;0
301667;0;0
302333;2;1.41421
303000;1;1
303667;2;1.41421
304333;2;1.41421
305000;1;1
305667;0;0
306333;0;0
307000;2;1.41421
307667;1;1
308333;0;0
309000;0;0
309667;5;2.23607
310333;1;1
311000;1;1
311667;0;0
312333;3;1.73205
313000;1;1
313667;0;0
314333;2;1.41421
315000;2;1.41421
315667;1;1
316333;0;0
317000;2;1.41421
317667;3;1.73205
318333;1;1
319000;1;1
319667;1;1
320333;1;1
321000;0;0
321667;0;0
322333;1;1
323000;1;1
323667;0;0
324333;0;0
325000;1;1
325667;2;1.41421
326333;2;1.41421
327000;0;0
327667;0;0
328333;2;1.41421
329000;0;0
329667;2;1.41421
330333;2;1.41421
331000;1;1
331667;3;1.73205
332333;2;1.41421
333000;1;1
333667;0;0
334333;0;0
335000;0;0
335667;2;1.41421
336333;0;0
337000;0;0
337667;3;1.73205
338333;1;1
339000;2;1.41421
339667;0;0
340333;2;1.41421
341000;1;1
341667;5;2.23607
342333;3;1.73205
343000;2;1.41421
343667;3;1.73205
344333;5;2.23607
345000;0;0
345667;3;1.73205
346333;0;0
347000;2;1.41421
347667;0;0
348333;0;0
349000;4;2
349667;0;0
350333;1;1
351000;1;1
351667;0;0
352333;1;1
353000;1;1
353667;0;0
354333;2;1.41421
355000;2;1.41421
355667;1;1
356333;2;1.41421
357000;1;1
357667;2;1.41421
358333;1;1
359000;0;0
359667;1;1
360333;1;1
361000;1;1
361667;2;1.41421
362333;1;1
363000;2;1.41421
363667;2;1.41421
364333;1;1
365000;1;1
365667;1;1
366333;2;1.41421
367000;4;2
367667;5;2.23607
368333;2;1.41421
369000;3;1.73205
369667;0;0
370333;1;1
371000;1;1
371667;2;1.41421
372333;2;1.41421
373000;0;0
373667;1;1
374333;3;1.73205
375000;1;1
375667;2;1.41421
376333;2;1.41421
377000;1;1
377667;0;0
378333;0;0
379000;1;1
379667;0;0
380333;2;1.41421
381000;2;1.41421
381667;1;1
382333;1;1
383000;0;0
383667;4;2
384333;2;1.41421
385000;1;1
385667;2;1.41421
386333;0;0
387000;2;1.41421
387667;1;1
388333;0;0
389000;1;1
389667;3;1.73205
390333;1;1
391000;4;2
391667;2;1.41421
392333;0;0
393000;0;0
393667;3;1.73205
394333;2;1.41421
395000;0;0
395667;1;1
396333;2;1.41421
397000;1;1
397667;1;1
398333;1;1
399000;4;2
399667;0;0
400333;1;1
401000;0;0
401667;1;1
402333;1;1
403000;1;1
403667;2;1.41421
404333;2;1.41421
405000;0;0
405667;6;2.44949
406333;2;1.41421
407000;2;1.41421
407667;0;0
408333;0;0
409000;0;0
409667;1;1
410333;1;1
411000;0;0
411667;0;0
412333;1;1
413000;0;0
413667;1;1
414333;1;1
415000;0;0
415667;1;1
416333;4;2
417000;1;1
417667;0;0
418333;0;0
419000;0;0
419667;2;1.41421
420333;2;1.41421
421000;1;1
421667;3;1.73205
422333;1;1
423000;0;0
423667;1;1
424333;2;1.41421
425000;0;0
425667;1;1
426333;1;1
427000;1;1
427667;1;1
428333;2;1.41421
429000;2;1.41421
429667;0;0
430333;5;2.23607
431000;1;1
431667;1;1
432333;0;0
433000;2;1.41421
433667;0;0
434333;2;1.41421
435000;2;1.41421
435667;3;1.73205
436333;2;1.41421
437000;0;0
437667;0;0
438333;0;0
439000;6;2.44949
439667;1;1
440333;2;1.41421
441000;1;1
441667;0;0
442333;2;1.41421
443000;1;1
443667;0;0
444333;2;1.41421
445000;0;0
445667;1;1
446333;0;0
447000;0;0
447667;2;1.41421
448333;2;1.41421
449000;0;0
449667;0;0
450333;1;1
451000;2;1.41421
451667;1;1
452333;0;0
453000;1;1
453667;3;1.73205
454333;2;1.41421
455000;0;0
455667;1;1
456333;1;1
457000;1;1
457667;1;1
458333;2;1.41421
459000;1;1
459667;3;1.73205
460333;2;1.41421
461000;3;1.73205
461667;1;1
462333;0;0
463000;1;1
463667;2;1.41421
464333;1;1
465000;0;0
465667;0;0
466333;0;0
467000;2;1.41421
467667;3;1.73205
468333;3;1.73205
469000;3;1.73205
469667;3;1.73205
470333;0;0
471000;3;1.73205
471667;1;1
472333;1;1
473000;0;0
473667;6;2.44949
474333;3;1.73205
475000;1;1
475667;2;1.41421
476333;0;0
477000;1;1
477667;0;0
478333;3;1.73205
